marketid,submarketid,geographyname,period,askingrent,askingrpsf,effectiverent,effectiverpsf,askingrentchange,yoyaskingrentchange,effectiverentchange,yoyeffectiverentchange,ssaskingrentchange,ssyoyaskingrentchange,sseffectiverentchange,ssyoyeffectiverentchange,occupancy,occupancychange,yoyoccupancychange,ssoccupancychange,ssyoyoccupancychange,vacancyrate,concession,concessionpercentaskingrent,percentofunitsofferingconcessions,propertiessampled,unitssampled,existingunits,averageyearbuilt,averageunitsize
12060,2,Midtown Atlanta,Y2023M08,2184,2.407,2145,2.364,-0.0048,-0.0384,-0.005,-0.0458,-0.0053,-0.0315,-0.0056,-0.0387,0.9345,0.0018,-0.0171,0.0012,-0.0134,0.0655,212,0.093,0.184,57,15750,26534,2009,907
12060,2,Midtown Atlanta,Y2023M09,2162,2.382,2120,2.337,-0.0102,-0.0486,-0.0114,-0.0577,-0.0102,-0.0424,-0.0114,-0.0513,0.9324,-0.0021,-0.0144,-0.0021,-0.0122,0.0676,193,0.094,0.214,57,15750,26624,2009,907
12060,2,Midtown Atlanta,Y2023M10,2130,2.347,2095,2.309,-0.0147,-0.0508,-0.012,-0.057,-0.0147,-0.044,-0.012,-0.0497,0.928,-0.0044,-0.0138,-0.0044,-0.0115,0.072,168,0.084,0.208,57,15750,26685,2009,907
12060,2,Midtown Atlanta,Y2023M11,2104,2.319,2067,2.279,-0.012,-0.0489,-0.0132,-0.0546,-0.0117,-0.0422,-0.013,-0.0474,0.9262,-0.0018,-0.011,-0.0015,-0.0086,0.0738,177,0.088,0.209,58,15815,26816,2009,907
12060,2,Midtown Atlanta,Y2023M12,2064,2.275,2027,2.234,-0.0193,-0.0549,-0.0194,-0.061,-0.0193,-0.0501,-0.0194,-0.0556,0.9264,0.0002,-0.0076,0.0002,-0.0051,0.0736,184,0.088,0.197,58,15815,26948,2009,907
12060,2,Midtown Atlanta,Y2024M01,2054,2.264,2016,2.222,-0.0048,-0.0539,-0.0057,-0.0575,-0.0048,-0.0472,-0.0057,-0.0501,0.925,-0.0014,-0.0079,-0.0014,-0.0052,0.075,203,0.103,0.187,58,15815,27220,2009,907
12060,2,Midtown Atlanta,Y2024M02,2048,2.257,2019,2.225,-0.0029,-0.0601,0.0015,-0.0612,-0.0029,-0.0538,0.0015,-0.0542,0.9247,-0.0003,-0.0046,-0.0003,-0.0022,0.0753,208,0.096,0.139,58,15815,27493,2009,907
12060,2,Midtown Atlanta,Y2024M03,2035,2.243,1989,2.192,-0.006,-0.0631,-0.0146,-0.071,-0.006,-0.0545,-0.0146,-0.062,0.9243,-0.0004,-0.0016,-0.0004,-0.0018,0.0757,217,0.101,0.213,58,15815,27806,2009,907
12060,2,Midtown Atlanta,Y2024M04,2040,2.249,1999,2.203,0.0024,-0.0633,0.0049,-0.0681,0.0024,-0.054,0.0049,-0.0583,0.9208,-0.0035,-0.0032,-0.0035,-0.0046,0.0792,193,0.097,0.215,58,15815,27806,2009,907
12060,2,Midtown Atlanta,Y2024M05,2039,2.247,1988,2.191,-0.0009,-0.0688,-0.0054,-0.0766,-0.0009,-0.0585,-0.0054,-0.0652,0.9218,0.001,-0.0047,0.001,-0.0039,0.0782,211,0.107,0.239,58,15815,27806,2009,907
12060,2,Midtown Atlanta,Y2024M06,2059,2.27,2009,2.215,0.0099,-0.0594,0.0103,-0.069,0.0033,-0.0644,0.0057,-0.0725,0.9256,0.0038,-0.009,0.0047,-0.0075,0.0744,226,0.108,0.222,59,16135,28037,2010,907
12060,2,Midtown Atlanta,Y2024M07,2077,2.29,2016,2.223,0.009,-0.0536,0.0039,-0.0646,0.0087,-0.06,0.0036,-0.0707,0.9275,0.0019,-0.0052,0.0018,-0.005,0.0725,220,0.107,0.276,59,16117,28268,2010,907
12060,2,Midtown Atlanta,Y2024M08,2079,2.289,2025,2.23,0.001,-0.048,0.0043,-0.0559,-0.0045,-0.059,0.0015,-0.0639,0.9344,0.0069,-0.0001,0.0082,0.0013,0.0656,213,0.107,0.253,60,16457,28616,2010,908
12060,2,Midtown Atlanta,Y2024M09,2100,2.311,2036,2.24,0.0101,-0.0285,0.0051,-0.0401,0.0021,-0.0478,0.0012,-0.0518,0.9363,0.0019,0.0039,0.003,0.0066,0.0637,319,0.135,0.203,61,16812,28965,2010,909
12060,2,Midtown Atlanta,Y2024M10,2075,2.284,2007,2.209,-0.0121,-0.026,-0.0141,-0.0421,-0.0121,-0.0444,-0.0127,-0.0518,0.9351,-0.0012,0.0071,0,0.011,0.0649,332,0.143,0.204,62,17096,29082,2011,908
12060,2,Midtown Atlanta,Y2024M11,2040,2.246,1956,2.154,-0.0168,-0.0307,-0.0253,-0.0538,-0.0168,-0.0508,-0.0253,-0.0646,0.9376,0.0025,0.0114,0.0025,0.0146,0.0624,316,0.147,0.265,62,17096,29082,2011,908
12060,2,Midtown Atlanta,Y2024M12,2033,2.249,1938,2.144,-0.0035,-0.015,-0.0093,-0.0441,-0.003,-0.0343,-0.0085,-0.0531,0.9377,0.0001,0.0113,0,0.0139,0.0623,327,0.15,0.291,61,16931,29287,2011,904
12060,2,Midtown Atlanta,Y2025M01,2043,2.257,1945,2.149,0.0049,-0.0053,0.0035,-0.0353,-0.0031,-0.0326,0.0012,-0.0459,0.9387,0.001,0.0137,0.0023,0.0183,0.0613,341,0.155,0.288,63,17523,29492,2011,905
12060,2,Midtown Atlanta,Y2025M02,2080,2.298,1957,2.161,0.0184,0.016,0.0064,-0.0306,0.0072,-0.0223,0.0043,-0.0449,0.9369,-0.0018,0.0122,0,0.0189,0.0631,349,0.158,0.354,64,17818,29697,2011,905
12060,2,Midtown Atlanta,Y2025M03,2101,2.32,2002,2.211,0.0098,0.0321,0.0229,0.0063,0.0085,-0.0058,0.0207,-0.0212,0.9424,0.0055,0.0181,0.006,0.0201,0.0576,346,0.152,0.287,65,18095,29903,2012,905
12060,2,Midtown Atlanta,Y2025M04,2128,2.349,2035,2.246,0.0128,0.0429,0.0165,0.018,0.0039,-0.0038,0.0072,-0.019,0.9509,0.0085,0.0301,0.0088,0.0294,0.0491,303,0.14,0.307,66,18512,29903,2012,906
12060,2,Midtown Atlanta,Y2025M05,2159,2.377,2057,2.264,0.0146,0.059,0.0108,0.0346,0.0053,0.0037,0.0072,-0.0106,0.9473,-0.0036,0.0255,-0.0009,0.0297,0.0527,336,0.151,0.303,68,19043,30146,2013,908
12060,2,Midtown Atlanta,Y2025M06,2224,2.441,2121,2.327,0.0304,0.0805,0.0311,0.0558,0.0158,0.01,0.0174,-0.0053,0.9436,-0.0037,0.018,0.0009,0.0228,0.0564,316,0.141,0.328,70,20118,30390,2013,911
12060,2,Midtown Atlanta,Y2025M07,2231,2.447,2128,2.334,0.0029,0.074,0.0033,0.0552,0.0029,0.0059,0.0033,0.0006,0.9488,0.0052,0.0213,0.0052,0.0277,0.0512,320,0.142,0.322,70,20108,30390,2013,912
12060,2,Midtown Atlanta,Y2025M08,2213,2.428,2126,2.333,-0.0081,0.0642,-0.001,0.0496,-0.0069,0.0055,0.0005,-0.0025,0.9504,0.0016,0.016,0.0017,0.0194,0.0496,307,0.135,0.284,70,20038,30390,2013,911
12060,2,Midtown Atlanta,Y2025M09,2215,2.429,2116,2.32,0.0009,0.0546,-0.0046,0.0395,-0.0014,0.001,-0.0065,-0.0069,0.945,-0.0054,0.0087,-0.0047,0.0107,0.055,311,0.136,0.318,69,19743,30390,2013,912
12060,2,Midtown Atlanta,Y2025M10,2189,2.397,2088,2.287,-0.0116,0.0552,-0.0131,0.0405,-0.0116,0.0026,-0.0129,0.0007,0.9416,-0.0034,0.0065,-0.0035,0.0097,0.0584,354,0.153,0.286,69,19751,30390,2013,913
12060,2,Midtown Atlanta,Y2025M11,2169,2.373,2085,2.281,-0.0091,0.0634,-0.0015,0.0659,-0.007,0.0126,0.0004,0.0206,0.9371,-0.0045,-0.0005,-0.0047,0.003,0.0629,298,0.134,0.282,70,19897,30390,2013,914
12060,2,Midtown Atlanta,Y2025M12,2178,2.385,2077,2.275,0.004,0.0714,-0.0038,0.0719,0.0024,0.0175,-0.0052,0.0261,0.9318,-0.0053,-0.0059,-0.0052,-0.0032,0.0682,347,0.15,0.29,69,19765,30390,2013,913
12060,2,Midtown Atlanta,Y2026M01,2197,2.404,2074,2.269,0.0089,0.0757,-0.0014,0.0667,0.005,0.0219,-0.0008,0.0199,0.9383,0.0065,-0.0004,0.0074,0.0001,0.0617,367,0.159,0.335,71,20262,30390,2013,914
12060,2,Midtown Atlanta,Y2026M02,2193,2.399,2075,2.27,-0.0021,0.0539,0.0002,0.0602,-0.0021,0.0161,0.0002,0.0289,0.9412,0.0029,0.0043,0.0029,0.0045,0.0588,359,0.155,0.328,71,20262,30390,2013,914
12060,2,Midtown Atlanta,Y2026M03,2196,2.403,2077,2.272,0.0016,0.0454,0.0011,0.0376,0.0016,0.0037,0.0009,0.0005,0.945,0.0038,0.0026,0.0038,0.0042,0.055,356,0.156,0.335,71,20267,30390,2013,914
12060,3,Northeast Atlanta,Y2022M01,1826,1.93,1812,1.915,-0.0005,0.1543,0.0001,0.1757,0.0014,0.1518,0.0018,0.1724,0.9626,-0.0089,0.0262,-0.0033,0.0316,0.0374,108,0.057,0.131,49,12169,17207,2004,946
12060,3,Northeast Atlanta,Y2022M02,1831,1.936,1819,1.923,0.0026,0.1485,0.004,0.1694,0.0019,0.1457,0.0033,0.1657,0.9588,-0.0038,0.0203,-0.004,0.0218,0.0412,120,0.065,0.097,48,12138,17207,2004,946
12060,3,Northeast Atlanta,Y2022M03,1832,1.936,1820,1.924,0.0003,0.1431,0.0004,0.16,0.0003,0.1413,0.0004,0.1554,0.9578,-0.001,0.0175,-0.001,0.0153,0.0422,87,0.045,0.131,48,12138,17207,2004,946
12060,3,Northeast Atlanta,Y2022M04,1838,1.943,1825,1.929,0.0036,0.1332,0.0026,0.1423,0.0036,0.1296,0.0026,0.1356,0.9565,-0.0013,0.0146,-0.0013,0.0132,0.0435,112,0.06,0.119,48,12138,17311,2004,946
12060,3,Northeast Atlanta,Y2022M05,1860,1.967,1846,1.953,0.0118,0.1254,0.0117,0.1318,0.0096,0.1161,0.0097,0.1211,0.9534,-0.0031,0.0076,-0.0041,0.0044,0.0466,129,0.07,0.106,47,11707,17415,2005,945
12060,3,Northeast Atlanta,Y2022M06,1880,1.988,1874,1.982,0.0106,0.1146,0.0151,0.1274,0.0106,0.1137,0.0151,0.122,0.9393,-0.0141,-0.0125,-0.0141,-0.017,0.0607,105,0.053,0.054,47,11707,17415,2005,945
12060,3,Northeast Atlanta,Y2022M07,1891,2,1881,1.99,0.0058,0.0905,0.004,0.1012,0.0058,0.0848,0.004,0.0959,0.9399,0.0006,-0.0271,0.0006,-0.031,0.0601,108,0.057,0.084,47,11707,17415,2005,945
12060,3,Northeast Atlanta,Y2022M08,1915,2.027,1895,2.006,0.0129,0.0839,0.0073,0.0872,0.0135,0.0792,0.0079,0.0827,0.9351,-0.0048,-0.0278,-0.0049,-0.0286,0.0649,147,0.077,0.134,48,11726,17415,2005,945
12060,3,Northeast Atlanta,Y2022M09,1910,2.03,1891,2.01,-0.0028,0.0603,-0.0023,0.061,-0.0027,0.058,-0.0017,0.059,0.9344,-0.0007,-0.035,-0.0003,-0.0342,0.0656,151,0.077,0.124,50,12306,17415,2005,941
12060,3,Northeast Atlanta,Y2022M10,1901,2.021,1890,2.009,-0.0047,0.0465,-0.0004,0.0513,-0.0047,0.0415,-0.0004,0.0458,0.9306,-0.0038,-0.035,-0.0038,-0.036,0.0694,126,0.064,0.083,50,12306,17415,2005,941
12060,3,Northeast Atlanta,Y2022M11,1887,2.006,1877,1.995,-0.0072,0.0348,-0.0072,0.0364,-0.0072,0.0291,-0.0072,0.0303,0.9261,-0.0045,-0.042,-0.0045,-0.0433,0.0739,123,0.064,0.084,50,12306,17415,2005,941
12060,3,Northeast Atlanta,Y2022M12,1876,1.992,1870,1.985,-0.0058,0.0266,-0.0036,0.032,-0.0082,0.016,-0.0081,0.0215,0.9271,0.001,-0.0444,-0.0022,-0.0478,0.0729,109,0.057,0.054,48,11859,17415,2005,942
12060,3,Northeast Atlanta,Y2023M01,1883,1.999,1878,1.994,0.0036,0.0308,0.0045,0.0365,0.0036,0.0216,0.0045,0.0277,0.9275,0.0004,-0.0351,0.0004,-0.0442,0.0725,68,0.035,0.064,48,11859,17415,2005,942
12060,3,Northeast Atlanta,Y2023M02,1862,1.979,1854,1.97,-0.0109,0.017,-0.0129,0.019,-0.0099,0.0117,-0.012,0.0139,0.9299,0.0024,-0.0289,0.002,-0.0335,0.0701,97,0.054,0.084,49,11974,17415,2005,941
12060,3,Northeast Atlanta,Y2023M03,1875,1.993,1863,1.98,0.007,0.0238,0.0048,0.0234,0.005,0.0184,0.0028,0.0178,0.9328,0.0029,-0.025,0.0038,-0.0249,0.0672,130,0.068,0.095,48,11823,17415,2005,941
12060,3,Northeast Atlanta,Y2023M04,1873,1.991,1863,1.98,-0.0012,0.0189,0.0002,0.021,-0.0012,0.0154,0.0002,0.0176,0.9265,-0.0063,-0.03,-0.0063,-0.0294,0.0735,73,0.041,0.132,48,11823,17446,2005,941
12060,3,Northeast Atlanta,Y2023M05,1869,1.987,1847,1.963,-0.0021,0.0049,-0.009,0.0002,-0.0021,0.0021,-0.009,-0.0045,0.9196,-0.0069,-0.0338,-0.0069,-0.0324,0.0804,107,0.062,0.209,48,11823,17477,2005,941
12060,3,Northeast Atlanta,Y2023M06,1859,1.976,1842,1.958,-0.0053,-0.0109,-0.0024,-0.017,-0.0053,-0.0141,-0.0024,-0.0206,0.9183,-0.0013,-0.021,-0.0013,-0.018,0.0817,107,0.06,0.158,48,11823,17508,2005,941
12060,3,Northeast Atlanta,Y2023M07,1844,1.96,1823,1.937,-0.0081,-0.0246,-0.0106,-0.0313,-0.0081,-0.0277,-0.0106,-0.0325,0.9102,-0.0081,-0.0297,-0.0081,-0.0279,0.0898,95,0.054,0.224,48,11823,17539,2005,941
12060,3,Northeast Atlanta,Y2023M08,1840,1.956,1825,1.94,-0.0019,-0.0389,0.0012,-0.0372,-0.0019,-0.0396,0.0012,-0.0374,0.9103,0.0001,-0.0248,0.0001,-0.0242,0.0897,105,0.059,0.149,48,11823,17570,2005,941
12060,3,Northeast Atlanta,Y2023M09,1828,1.943,1793,1.906,-0.0066,-0.0426,-0.0173,-0.0517,-0.0066,-0.0418,-0.0173,-0.0517,0.9139,0.0036,-0.0205,0.0036,-0.0207,0.0861,145,0.082,0.242,48,11823,17570,2005,941
12060,3,Northeast Atlanta,Y2023M10,1799,1.91,1780,1.89,-0.0161,-0.0535,-0.0073,-0.0582,-0.0156,-0.0588,-0.0084,-0.0659,0.9139,0,-0.0167,-0.0047,-0.0245,0.0861,134,0.075,0.14,47,11472,17570,2005,942
12060,3,Northeast Atlanta,Y2023M11,1789,1.899,1770,1.879,-0.0055,-0.0518,-0.0058,-0.0569,-0.0055,-0.0576,-0.0058,-0.0651,0.9084,-0.0055,-0.0177,-0.0055,-0.0258,0.0916,127,0.069,0.151,47,11472,17570,2005,942
12060,3,Northeast Atlanta,Y2023M12,1786,1.896,1753,1.861,-0.0017,-0.0479,-0.0097,-0.0627,-0.0017,-0.051,-0.0097,-0.0661,0.9074,-0.001,-0.0197,-0.001,-0.0246,0.0926,132,0.075,0.253,47,11472,17570,2005,942
12060,3,Northeast Atlanta,Y2024M01,1773,1.872,1735,1.832,-0.0074,-0.0584,-0.0102,-0.0765,-0.007,-0.0591,-0.0114,-0.0776,0.9081,0.0007,-0.0194,-0.0031,-0.0245,0.0919,170,0.098,0.224,46,11202,17570,2006,947
12060,3,Northeast Atlanta,Y2024M02,1774,1.873,1743,1.84,0.0004,-0.0476,0.0046,-0.06,0.0004,-0.0486,0.0045,-0.0614,0.9064,-0.0017,-0.0235,0.0021,-0.0193,0.0936,135,0.079,0.229,47,11485,17570,2006,947
12060,3,Northeast Atlanta,Y2024M03,1761,1.858,1734,1.83,-0.0072,-0.061,-0.0048,-0.069,-0.0007,-0.0536,0.0012,-0.0622,0.9,-0.0064,-0.0328,-0.0022,-0.025,0.1,150,0.08,0.177,48,11916,17570,2005,948
12060,3,Northeast Atlanta,Y2024M04,1765,1.863,1724,1.82,0.0025,-0.0575,-0.0057,-0.0745,0.0025,-0.0499,-0.0057,-0.0681,0.9009,0.0009,-0.0256,0.0009,-0.0175,0.0991,162,0.09,0.253,48,11916,17570,2005,948
12060,3,Northeast Atlanta,Y2024M05,1766,1.864,1726,1.822,0.0004,-0.0551,0.001,-0.0652,0.0004,-0.0509,0.001,-0.0625,0.9015,0.0006,-0.0181,0.0006,-0.0136,0.0985,136,0.078,0.294,48,11916,17570,2005,948
12060,3,Northeast Atlanta,Y2024M06,1776,1.874,1719,1.814,0.0056,-0.0448,-0.0042,-0.067,0.0056,-0.0442,-0.0042,-0.0689,0.9032,0.0017,-0.0151,0.0017,-0.0103,0.0968,167,0.098,0.341,48,11916,17570,2005,948
12060,3,Northeast Atlanta,Y2024M07,1780,1.879,1726,1.822,0.0024,-0.0347,0.0044,-0.0528,0.0024,-0.0337,0.0044,-0.0539,0.9039,0.0007,-0.0063,0.0007,-0.0014,0.0961,156,0.091,0.343,48,11916,17570,2005,948
12060,3,Northeast Atlanta,Y2024M08,1769,1.867,1715,1.81,-0.0061,-0.0387,-0.0063,-0.0599,-0.0061,-0.0359,-0.0063,-0.0567,0.9031,-0.0008,-0.0072,-0.0008,-0.0036,0.0969,174,0.102,0.309,48,11917,17570,2005,948
12060,3,Northeast Atlanta,Y2024M09,1746,1.843,1710,1.804,-0.013,-0.0449,-0.0033,-0.0465,-0.013,-0.0378,-0.0033,-0.0414,0.9096,0.0065,-0.0043,0.0065,-0.0008,0.0904,147,0.087,0.249,48,11917,17570,2005,948
12060,3,Northeast Atlanta,Y2024M10,1731,1.832,1686,1.784,-0.0085,-0.0375,-0.0138,-0.0528,-0.0086,-0.0322,-0.0136,-0.0482,0.9105,0.0009,-0.0034,0,0.0045,0.0895,181,0.107,0.251,47,11705,17570,2005,945
12060,3,Northeast Atlanta,Y2024M11,1723,1.823,1680,1.778,-0.0048,-0.0369,-0.0034,-0.0505,-0.0048,-0.0311,-0.0034,-0.0454,0.9124,0.0019,0.004,0.0019,0.0121,0.0876,191,0.113,0.223,47,11705,17710,2005,945
12060,3,Northeast Atlanta,Y2024M12,1721,1.816,1680,1.773,-0.0015,-0.0366,-0.0005,-0.0417,-0.001,-0.0264,-0.0004,-0.0339,0.9114,-0.001,0.004,-0.0001,0.0089,0.0886,160,0.097,0.256,48,11917,17851,2005,948
12060,3,Northeast Atlanta,Y2025M01,1723,1.821,1686,1.781,0.0016,-0.0279,0.0037,-0.0281,0.0003,-0.0188,-0.0013,-0.0191,0.9175,0.0061,0.0094,0.0034,0.0155,0.0825,170,0.097,0.219,46,11447,17992,2007,946
12060,3,Northeast Atlanta,Y2025M02,1719,1.821,1671,1.77,-0.0023,-0.0306,-0.0088,-0.0411,0.0049,-0.0161,0.0033,-0.0274,0.9135,-0.004,0.0071,-0.0031,0.0083,0.0865,192,0.116,0.251,46,11565,17992,2007,944
12060,3,Northeast Atlanta,Y2025M03,1723,1.828,1671,1.773,0.0021,-0.0216,-0.0001,-0.0366,0.0033,-0.0155,0.0009,-0.0307,0.9123,-0.0012,0.0123,-0.0015,0.0087,0.0877,191,0.11,0.271,47,11729,18070,2007,942
12060,3,Northeast Atlanta,Y2025M04,1728,1.836,1681,1.787,0.0031,-0.0211,0.0063,-0.0249,0.0044,-0.0129,0.0069,-0.0174,0.9167,0.0044,0.0158,0.003,0.0108,0.0833,217,0.13,0.215,48,12080,18148,2007,941
12060,3,Northeast Atlanta,Y2025M05,1738,1.846,1697,1.803,0.0055,-0.0161,0.0092,-0.0169,0.0055,-0.007,0.0092,-0.0077,0.9236,0.0069,0.0221,0.0069,0.0183,0.0764,214,0.129,0.19,48,12080,18226,2007,941
12060,3,Northeast Atlanta,Y2025M06,1756,1.866,1719,1.827,0.0108,-0.011,0.013,0.0001,0.0108,-0.0017,0.013,0.0104,0.9304,0.0068,0.0272,0.0068,0.0232,0.0696,207,0.119,0.18,48,12080,18305,2007,941
12060,3,Northeast Atlanta,Y2025M07,1774,1.886,1727,1.835,0.0103,-0.0032,0.0045,0.0003,0.0103,0.0067,0.0045,0.0099,0.9325,0.0021,0.0286,0.0021,0.024,0.0675,211,0.12,0.225,48,12080,18384,2007,941
12060,3,Northeast Atlanta,Y2025M08,1766,1.876,1730,1.838,-0.0048,-0.0019,0.0016,0.0083,-0.0051,0.0082,0.0014,0.0187,0.9281,-0.0044,0.025,-0.0044,0.0208,0.0719,215,0.122,0.169,48,12082,18384,2007,941
12060,3,Northeast Atlanta,Y2025M09,1768,1.885,1741,1.857,0.0009,0.0121,0.0068,0.0185,-0.0015,0.0202,0.0041,0.0262,0.9294,0.0013,0.0198,0,0.0147,0.0706,158,0.092,0.165,49,12331,18384,2007,938
12060,3,Northeast Atlanta,Y2025M10,1764,1.881,1735,1.849,-0.002,0.0188,-0.004,0.0287,-0.0047,0.0214,-0.0065,0.0312,0.9208,-0.0086,0.0103,-0.0083,0.0032,0.0792,182,0.106,0.162,48,12151,18384,2007,938
12060,3,Northeast Atlanta,Y2025M11,1756,1.877,1730,1.85,-0.0046,0.019,-0.0023,0.0298,-0.0046,0.0189,-0.0002,0.0295,0.9219,0.0011,0.0095,-0.0023,0.0026,0.0781,208,0.117,0.122,47,12023,18384,2007,935
12060,3,Northeast Atlanta,Y2025M12,1741,1.86,1702,1.818,-0.0084,0.012,-0.0165,0.0133,-0.006,0.0209,-0.0145,0.0213,0.9191,-0.0028,0.0077,-0.0035,0.003,0.0809,192,0.115,0.204,48,12505,18384,2007,936
12060,3,Northeast Atlanta,Y2026M01,1748,1.868,1715,1.833,0.0038,0.0142,0.0077,0.0174,0.0039,0.0246,0.0078,0.0283,0.9201,0.001,0.0026,0.001,-0.0026,0.0799,154,0.094,0.211,48,12515,18384,2007,936
12060,3,Northeast Atlanta,Y2026M02,1748,1.865,1701,1.814,0.0003,0.0169,-0.0082,0.018,-0.0013,0.0137,-0.0094,0.0172,0.9208,0.0007,0.0073,-0.0029,0.004,0.0792,198,0.109,0.238,47,12151,18384,2007,938
